Site;Biomass;Depth
site 1;5,319;28
site 1;2,642;26
site 1;23,206;30
site 1;2,664;29
site 1;3,977;29
site 2;2,531;34
site 2;1,083;21
site 2;19,459;27
site 2;10,968;30
site 2;1,886;36
site 1;5,017;20
site 1;183,595;19
site 1;70,046;18
site 1;32,61;17
site 1;9,958;13
site 2;88,733;13
site 2;6,078;13
site 2;10,995;10
site 2;9,85;17
site 2;37,981;16
